PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,3,Mrs. Passenger 0,female,,0,1,TCK100000,14.75,,S
2,1,2,Mr. Passenger 1,male,,2,1,TCK100001,14.11,,S
3,0,3,Mr. Passenger 2,male,48.2,0,0,TCK100002,12.03,,S
4,1,3,Miss. Passenger 3,female,35.6,1,0,TCK100003,17.41,,S
5,1,1,Miss. Passenger 4,female,11.9,3,2,TCK100004,60.52,,S
6,1,3,Mr. Passenger 5,male,37.7,1,1,TCK100005,17.1,,S
7,0,3,Mr. Passenger 6,male,18.9,0,0,TCK100006,17.28,,S
8,0,3,Mr. Passenger 7,male,21.5,1,0,TCK100007,18.49,,C
9,1,1,Mr. Passenger 8,male,33.1,0,1,TCK100008,88.72,,Q
10,0,3,Mr. Passenger 9,male,,0,0,TCK100009,29.85,,S
11,0,2,Mr. Passenger 10,male,,1,1,TCK100010,28.44,D29,S
12,0,3,Mr. Passenger 11,male,18.9,1,0,TCK100011,14.69,,C
13,0,3,Mr. Passenger 12,male,21.0,0,1,TCK100012,8.45,,S
14,0,3,Mrs. Passenger 13,female,,0,0,TCK100013,12.5,,C
15,0,2,Mrs. Passenger 14,female,21.6,1,0,TCK100014,31.41,,S
16,0,1,Mr. Passenger 15,male,43.3,1,3,TCK100015,141.44,,C
17,1,3,Mr. Passenger 16,male,,0,1,TCK100016,20.69,,S
18,0,1,Mr. Passenger 17,male,51.2,1,1,TCK100017,110.38,,S
19,0,3,Mr. Passenger 18,male,58.5,0,2,TCK100018,6.47,,S
20,1,3,Mrs. Passenger 19,female,15.6,0,0,TCK100019,15.53,,S
21,1,3,Miss. Passenger 20,female,,0,0,TCK100020,6.54,,C
22,0,2,Mrs. Passenger 21,female,13.7,3,0,TCK100021,8.1,D97,Q
23,1,3,Mrs. Passenger 22,female,18.9,0,0,TCK100022,14.24,,S
24,1,3,Mrs. Passenger 23,female,20.8,0,0,TCK100023,15.72,,S
25,1,3,Mrs. Passenger 24,female,15.3,0,2,TCK100024,17.7,,S
26,1,1,Mr. Passenger 25,male,15.3,1,0,TCK100025,100.7,C88,S
27,0,3,Mr. Passenger 26,male,27.1,0,0,TCK100026,15.76,,S
28,1,1,Mr. Passenger 27,male,13.2,0,0,TCK100027,50.92,,C
29,0,1,Mr. Passenger 28,male,39.9,4,0,TCK100028,80.47,,C
30,0,3,Mr. Passenger 29,male,,0,0,TCK100029,5.16,,S
31,1,3,Mrs. Passenger 30,female,,0,0,TCK100030,4.0,,S
32,0,3,Mr. Passenger 31,male,23.1,0,0,TCK100031,16.85,,S
33,1,2,Mr. Passenger 32,male,29.9,1,0,TCK100032,13.98,D49,S
34,0,2,Mr. Passenger 33,male,12.2,0,2,TCK100033,26.98,,S
35,0,3,Mr. Passenger 34,male,51.2,0,0,TCK100034,18.76,,S
36,1,1,Mr. Passenger 35,male,43.6,0,0,TCK100035,63.19,,S
37,1,1,Miss. Passenger 36,female,32.9,1,0,TCK100036,103.83,,S
38,0,3,Mr. Passenger 37,male,11.5,1,0,TCK100037,9.56,,C
39,1,1,Mrs. Passenger 38,female,,0,0,TCK100038,21.98,,S
40,0,3,Mr. Passenger 39,male,14.4,0,2,TCK100039,13.64,,S
41,0,2,Mr. Passenger 40,male,48.0,1,0,TCK100040,16.23,,S
42,0,3,Mr. Passenger 41,male,39.5,0,0,TCK100041,10.71,,C
43,1,3,Mrs. Passenger 42,female,,0,0,TCK100042,23.27,,S
44,1,2,Miss. Passenger 43,female,0.4,0,1,TCK100043,7.79,,S
45,0,3,Mr. Passenger 44,male,16.2,0,0,TCK100044,14.99,,S
46,1,3,Mrs. Passenger 45,female,37.9,0,0,TCK100045,7.83,,S
47,0,2,Mr. Passenger 46,male,44.8,0,1,TCK100046,27.27,D53,S
48,1,2,Mrs. Passenger 47,female,43.4,0,0,TCK100047,22.39,,C
49,0,3,Mr. Passenger 48,male,8.3,0,0,TCK100048,14.97,,S
50,1,1,Mr. Passenger 49,male,32.9,1,0,TCK100049,52.25,,S
51,1,1,Mrs. Passenger 50,female,42.2,0,0,TCK100050,58.28,,S
52,1,1,Mr. Passenger 51,male,7.4,0,2,TCK100051,115.16,C79,C
53,0,3,Mr. Passenger 52,male,28.9,1,0,TCK100052,22.21,,C
